domain | loads | ground | type-voice | signature-move | motion-guess | verdict
eseagency.ch | y | dark | quiet | black void with a lone counter (loader-as-hero) | kinetic-type | solid
ethcap.co | n | light | - | Vercel bot-check interstitial | - | -
evanfasquelle.com | y | dark | mixed | portfolio as trading-card binder: tilted card grid fanned behind caps TRADING PORTFOLIO with script "Cards" interleaved; serif 100% loader | 3d | ORIGINAL
evenodd.studio | n | dark | - | never painted past black | - | -
fabianalbert.com | y | dark | quiet | profile-card-as-hero (avatar, verified badge, pixel-type "designer") inside a hairline frame; filmstrip of product shots | none-visible | solid
federicopian.com | y | light | grotesk-caps | loader as composition: circled 65% bottom-left, tiny caps intro beside it, rest empty warm gray | canvas | solid
fernandopuente.es | y | color | giant-serif | oxblood-maroon field; the whole site as one serif index sheet — five columns of projects/clients/awards over a giant indented serif paragraph; swallow mark | none-visible | ORIGINAL
ferrari-movie.com | y | dark | quiet | affiliate blog, red-outlined cards, Amazon button | none-visible | template
festina.vc | y | dark | quiet | VC as still-life: anchor coin mark, one gray sentence with inline avatar chips, giant grainy 3D squiggle sculptures rising from below | 3d | ORIGINAL
fey.com | y | light | quiet | pure text letter: bold-then-gray running paragraph announcing acquisition; hamburger of stacked lines | none-visible | solid
feyapp.com | y | light | quiet | same acquisition letter with faint sketch glyphs | none-visible | solid
fiddle.digital | y | light | mixed | UI chopped into floating rounded slabs (logo slab, nav slab, blue 3D spring film); katakana sub-brand; mono annotations; giant page-turn arrow glyph | 3d | ORIGINAL
findyourvana.com | y | dark | mixed | loader: distressed VANA logotype + superscript percentage | canvas | solid
finethought.com.au | n | dark | - | flat charcoal | - | -
fionavilmer.com | n | - | - | TLS certificate error | - | -
firstframe.fr | n | dark | - | never painted past black | - | -
fiskprojects.com | n | light | - | blank ivory | - | -
flammini.design | y | dark | quiet | black stage, lime dot in camera-focus brackets center, giant grotesk claim pinned to the bottom edge | canvas | solid
flareum.io | n | dark | - | never painted | - | -
floema.com | n | light | - | blank warm-white | - | -
focalglow.co | y | light | quiet | logotype rotated 90deg running vertically up the center of an empty white page | kinetic-type | solid
footer.design | y | light | quiet | gallery of footers: taxonomy nav, left rail description, full-width footer screenshots | none-visible | solid
fora.so | y | dark | quiet | dusk-gradient landscape backdrop, pill badge, centered claim, floating product UI | none-visible | template
frame.io/v4 | n | - | - | navigation timed out repeatedly | - | -
framer.studio | y | dark | quiet | Framer switch-campaign page: left-locked headline, hairline feature grid, inline application form | none-visible | template
framer.university | y | dark | quiet | selected-text-frame styling (design-tool cursor handles) around the headline over talking-head video; laurel badge | none-visible | template
franklinazzi.fr | y | light | grotesk-caps | architecture office as broadsheet: three giant tracked-caps words spanning the top of an empty ivory sheet, mirror nav at bottom | none-visible | solid
funkhaus.io | y | dark | mixed | grotesk-to-swash-italic swap inside one headline over grainy pink light-ribbon photography; Awwwards tab | grain | solid
fura.com | y | dark | mixed | serif eyebrow over huge grotesk mission; gray chat-bubble icon chips drifting below | none-visible | solid
geex-arts.com | y | light | giant-serif | display-serif claim with superscript R/TM; monochrome 3D film-reel/turbine sculptures rising from the fold, Contact Us in the hub | 3d | solid
generalcondition.com | n | dark | - | never painted past black | - | -
getty.edu/tracingart | n | light | - | wordmark only; scrollytelling gated behind interaction | canvas | -
gianlucagradogna.com | y | dark | quiet | loader as composition: giant serif 0 bottom-left, "Loading portfolio" top-right | canvas | solid
gionatannese.com | y | light | quiet | index-card minimalism: white void, dot chip top-right, serif page number 001 bottom-center | kinetic-type | solid
gladeye.com | y | dark | quiet | near-black, rounded Menu pill, petal loader mark centered | 3d | solid
glyphsandgrids.com | y | dark | mixed | midnight navy, warped display logotype, glowing app-window card, single quiet caption | none-visible | solid
gm-meme.com | y | light | grotesk-caps | ultra-black headline with doodle eyes and pepe peeking from behind letters; hand-drawn cartoon cityscape; sticker SOON badges | kinetic-type | solid
gokulkrishnan.com | y | dark | quiet | canonical dark portfolio: giant gray "I'm X, a product designer" sentence, faint column rules, live London clock+temp, vertical Honors tab | none-visible | template
gopidge.com | n | color | - | parked domain | - | -
gregorylalle.com | y | light | grotesk-caps | white void, giant black 0 counter bottom-left as the only ink | canvas | solid
grit.pictures | y | dark | mixed | torn-paper MENU sticker + lightning-bolt logotype; film still emerging from black | grain | solid
griflan.com | y | dark | giant-serif | cream display serif with roman-to-italic pivot, squiggle dividers, red pill CTAs on near-black | none-visible | solid
