domain|loads|ground|type-voice|signature-move|motion-guess|verdict
hypercard.com|y|dark|grotesk-caps|dark SaaS agent-card grid + cookie banner|none-visible|template
hyperstudio.org|y|dark|grotesk-caps|dithered dot-matrix world map under centered claim|grain|solid
igloo.inc|y|light|quiet|ASCII micro-loader; famous WebGL world unreachable headless|3d|solid
immersive-g.com|n|||||
inette.co|y|light|giant-serif|lowercase wordmark set so large it crops off both viewport edges|none-visible|solid
ingamana.com|y|light|quiet|hero blank in headless (loader/WebGL)|canvas|solid
inkfishnyc.com|y|dark|mono|work index as a DOS terminal directory with block-glyph loading bars|kinetic-type|ORIGINAL
inkgames.com|y|dark|quiet|hero blank in headless (loader/WebGL)|canvas|solid
integrated-reasoning.com|y|dark|quiet|hero blank in headless|none-visible|solid
interaction.hnine.com|y|light|quiet|hero blank in headless (loader/WebGL)|canvas|solid
ithacaprotocol.io|y|dark|mixed|glowing green wireframe sphere + runic display logotype, epic crypto staging|3d|solid
itsmarga.me|y|light|mono|portfolio as an OS desktop: draggable window cards + hand-drawn dog chasing a fly|canvas|ORIGINAL
ivomynttinen.com|y|light|quiet|plain personal index with project cards|none-visible|template
jackentee.com|y|light|quiet|bottom-pinned category filter tabs with counts; work above|none-visible|solid
jackywinter.gallery|y|dark|quiet|black frame, staggered off-grid artwork windows|none-visible|solid
jacobince.com|y|dark|quiet|hero blank in headless|canvas|solid
jakubjakubik.com|y|light|quiet|whole page reduced to one floating pill nav + one caps line|none-visible|solid
jameswalsh.studio|y|color|quiet|brick-red field, one tiny centered line: studio name + 'Objects of desire'|none-visible|solid
jasonbergh.com|y|dark|quiet|scattered film thumbnails on a dotted grid, director reel wall|canvas|solid
jeffkoonsmoonphases.com|y|dark|quiet|art-project staging, small centered statement|none-visible|solid
jensbosman.nl|y|dark|quiet|hero blank in headless|canvas|solid
jessicamillearchitecte.com|n|||||
jinsupark.com|n|||||
johannadarrieta.com|n|light||Cloudflare bot challenge blocks headless||
joincobalt.com|y|dark|grotesk-caps|navy grid gradient, fintech waitlist hero|none-visible|template
joinmita.com|n|||||
jonathanpatterson.com|y|light|quiet|hero blank in headless|none-visible|solid
jordan-delcros.com|y|light|quiet|hero blank in headless|canvas|solid
jordandrobson.com|y|light|quiet|hero blank in headless|none-visible|solid
jordangilroy.com|y|light|mixed|fractured/sliced G(TM) monogram as hero object + mono corner HUD + serif aside|kinetic-type|solid
joseph-san.com|y|dark|mono|'[PLEASE WAIT] Loading 3D experience' — WebGL world unreachable headless|3d|solid
journey.zajno.com|y|dark|quiet|sound-on immersive journey behind numbered preloader|3d|solid
jschachterle.com|y|dark|quiet|tiny J/S + three links, body blank in headless|canvas|solid
julianoni.com|y|light|quiet|hero blank in headless|none-visible|solid
justbuild.app|n|||||
justinfarrugia.com|n|||||
justinlerner.com|n|||||
kaiblamey.com|y|dark|quiet|full-bleed photograph with UI pinned to the four corners|none-visible|solid
kaisermann.me|y|dark|mono|personal site as a CRT TV channel: scanlines, chroma fringe, CHANNEL 00|grain|ORIGINAL
karim-saab.com|y|dark|quiet|hero blank in headless|canvas|solid
karinasirqueira.com|y|light|quiet|identity built from abstract color-bar collage blocks|none-visible|solid
karocrafts.com|y|light|quiet|smiley wordmark loader [NYC EST.] [2023]; site behind it|canvas|solid
kevinbhagat.com|y|light|quiet|intro-left product-shots-right designer portfolio|none-visible|template
keywordsai.co|y|dark|grotesk-caps|centered claim + trace table product panel|none-visible|template
khanhnguyen.design|y|dark|giant-serif|folio-edition spine labels + huge serif year peeking past the fold|kinetic-type|solid
khroma.co|y|dark|mixed|italic serif claim beside holographic prism render|3d|solid
kidzfrmnowhere.com|y|dark|grotesk-caps|viewport-wide neon-green wordmark bleeding off both edges|none-visible|solid
knob.design|y|dark|giant-serif|elegant serif romancing a mechanical keyboard product shot|none-visible|solid
knowmore.so|n|||||
komandin.com|y|dark|grotesk-caps|glossy black 3D balloon pills behind Russian display claim|3d|solid
kreatives.co|y|light|giant-serif|orange serif hero sentence with photo chips and emoji set inline like words|kinetic-type|ORIGINAL
kriss.ai|y|light|quiet|washed mauve gradient; hotspot-driven guided product walkthrough|canvas|solid
kysondana.com|y|light|grotesk-caps|huge intro sentence with inline logo pills (Rivian)|none-visible|solid
la-caisse-jeu-simulation.com|y|dark|mono|pension fund explained as a bitmap-type choose-your-own-adventure game|kinetic-type|ORIGINAL
lafour.com|y|dark|mono|film-slate chrome: timecode in the nav, client x collab metadata rows over full-bleed reel|canvas|ORIGINAL
lamalama.com|y|dark|quiet|hero blank in headless|canvas|solid
lamalama.nl|y|dark|grotesk-caps|grunge-texture ground, floating pill nav ('LOOKING SHARP TODAY'), polaroid peek, condensed caps manifesto|grain|solid
landonorris.com|y|color|grotesk-caps|acid-yellow branded loader: 'LOAD NORRIS' pun under LN mark|canvas|solid
langbase.com|y|dark|grotesk-caps|gradient-bar chart motif on blueprint grid|none-visible|template
lapz.io|y|dark|grotesk-caps|faint 'Watch Motorsports in AR' centered claim|none-visible|template
laruemichel.re|y|light|grotesk-caps|brutalist wordmark with black square; images lazy|none-visible|solid
laugh-mind.co.jp|y|light|quiet|hero blank in headless|canvas|solid
laxspace.co|y|dark|quiet|black void with one letterspaced line: 'LAX SPACE.'|none-visible|solid
lazy.so|y|dark|quiet|hero blank in headless|none-visible|solid
lazyeight.design|y|light|quiet|giant soft-focus frog photograph crawling up from the fold as the whole hero|canvas|solid
leanrada.com|y|dark|mono|dithered pixel-craft personal page: gradient orb, circular type, typewriter mono, pixel objects|grain|ORIGINAL
leeroy.ca|y|dark|grotesk-caps|giant white wordmark cropped at the baseline of the viewport|kinetic-type|solid
leoleo.studio|n|light||Vercel security checkpoint blocks headless||
letude.group|y|color|grotesk-caps|Swiss-poster red field: giant caps wordmark, spinning badge glyphs, word-swap kinetic sentence|kinetic-type|ORIGINAL
linear.app|y|dark|grotesk-caps|the origin of the dark-SaaS genre; hero media lazy in headless|none-visible|template
lisovskiy.work|y|light|mixed|3D floppy disk labeled 'MY BEST IDEAS' beside an editorial word column|3d|ORIGINAL
littletroop.com|y|light|quiet|corner-pinned nav, tiny mascot center, footer 'Currently creating' status line|none-visible|solid
livesurface.com|y|color|quiet|full-bleed running product animation with vertical serif caption|canvas|solid
localstudio.fr|y|light|quiet|hero blank in headless|none-visible|solid
