domain|loads|ground|type-voice|signature-move|motion-guess|verdict
rogierdeboeve.com|y|dark|mono|blank in headless (WebGL gate); unresolvable|3d|solid
romemichal.pl|y|light|grotesk-caps|two-tone sentence hero (grey setup, black punchline) interrupted by inline image strip|none-visible|solid
roomfive.net|y|light|mono|typewriter mono resume w/ dotted grid and pink Book tab (Andrew Couldwell)|none-visible|solid
roudstudio.com|y|dark|quiet|right rail of stacked white info cards + dial graphic + lime CTA|none-visible|solid
ryanhaskins.com|y|color|grotesk-caps|inflated balloon-black wordmark on full-bleed taxi yellow; loud pattern photo grid|none-visible|solid
sageeast.com|y|dark|giant-serif|amber flared serif w/ alternating caps sizes and photo cutouts living inside the words|kinetic-type|ORIGINAL
sami.marketing|n|||timed out twice||template
samsons.kr|y|color|grotesk-caps|maximalist cutout collage (koi, celebrities, flowers) framing neon green Welcome on RGB cobalt|kinetic-type|ORIGINAL
samsy.ninja|y|dark|quiet|blank in headless (WebGL gate); unresolvable|canvas|solid
samthies.com|y|light|mono|entire homepage is one horizontal filmstrip row at midline on cream|none-visible|solid
sannisahil.com|y|light|grotesk-caps|hairline-ruled ledger rows w/ layered grey title pairs + glitched b/w portrait strip|kinetic-type|solid
sarahoh.info|y|light|quiet|pastel sticker icons + emoji in oversized friendly grotesk intro|none-visible|solid
sarahzaheer.site|y|dark|mixed|italic-serif swaps inside grotesk statement; lavender circle CTA; bracketed asides + live PST clock|kinetic-type|solid
satellitor.com|y|dark|quiet|gradient-text SEO SaaS formula|none-visible|template
satoshiwatanabe.org|y|light|quiet|radical anti-design: filmography as bare numbered text ledger, zero images|none-visible|solid
schemamagazine.com|y|light|grotesk-caps|ghost mega wordmark behind fashion diptych + pink tote marquee|none-visible|solid
screentune.app|y|light|quiet|cream Apple-style product page w/ dark app frame|none-visible|template
sebastian-martinez.com|y|color|grotesk-caps|sand mega-caps interrupted sentence (BUT...LIKE) around centered b/w portrait on orange-red|kinetic-type|solid
seda.xyz|y|light|quiet|grey/lilac gradient words in white fintech minimal|none-visible|template
september.works|y|dark|giant-serif|Nib-serif statement w/ pill-highlighted words + live studio status chip (After Hours - Sleeping)|none-visible|solid
serenacongiu.com|y|light|giant-serif|centered vertical photo scroll w/ tiny bracket serif nav at midline|none-visible|solid
serious.business|y|color|giant-serif|all-pink world: fat serif full-bleed wordmark + debossed SB smiley relief|3d|solid
seunghyuk.com|y|light|mono|skills constellation: labels wired to a black square nucleus on paper grain, faint trait words|canvas|ORIGINAL
sevengrid.app|y|dark|mixed|live phone widget demo + theme-dot row that recolors the whole page|none-visible|solid
shape.xyz|y|dark|quiet|thin grotesk mega headline over particle constellation|canvas|template
shareio.app|n|||timed out twice||template
sharonlee.design|y|dark|mono|portfolio as file-manager/IDE: sidebar profile, mono case rows, dark/light switch|none-visible|solid
shawnlukas.com|y|dark|mixed|self-measuring blueprint lab: rulers, date ticks, half-outline display, VIEW PAGE AUDIT button|kinetic-type|solid
shift-a.design|n|||DNS does not resolve||template
shotwithkino.com|y|dark|quiet|Apple-cadence claim (Have an iPhone? You're a filmmaker.) over dark gear collage|none-visible|solid
shuttle.zip|y|color|quiet|the product is the hero: dashed drag-and-drop zone floating in photographic sky|none-visible|solid
siena.film|y|dark|giant-serif|custom flared-serif logotype + ticket-stub ENTER gate|none-visible|solid
simarrolozano.com|y|dark|grotesk-caps|split mega wordmark pinned to corners over full-bleed film still; Japanese subtitle; rep metadata corners|kinetic-type|solid
simondenny.net|y|light|quiet|three-cell hairline table nav (press/enter/works) in Times; art-site austerity|none-visible|solid
simonpan.com|n|||ERR_INVALID_AUTH_CREDENTIALS||template
slash.com|y|dark|mixed|serif-italic accent inside grotesk fintech headline; glassy gold-lit dashboard|none-visible|solid
sloshseltzer.com|y|color|grotesk-caps|cherry-red condensed caps on bubblegum pink + doodle lightning + joke age-gate copy|kinetic-type|solid
smith-diction.com|y|dark|grotesk-caps|logo-marks marquee over chunky statement; green outline CTA|kinetic-type|solid
smlxl.company|y|color|quiet|clashing-pastel blocks: periwinkle text card w/ mint type on oxblood + orange news rail|none-visible|solid
snohetta.com|y|light|quiet|canonical Scandinavian minimal; filmstrip carousel|none-visible|solid
snp.agency|y|dark|mono|particle-cloud 3D object w/ mono awards footnotes|canvas|solid
softlabor.biz|y|light|giant-serif|entire Times-set publication rendered in ink-bleed dissolve (spray-noise glyphs) on peach|grain|ORIGINAL
solreader.com|y|dark|quiet|amber-lit e-reader glasses product hero|3d|solid
somefolk.co|y|dark|quiet|pixelated canvas image reveal; headless caught mosaic state|canvas|solid
sonarmusic.com.au|y|light|grotesk-caps|split editorial: talent photo vs blackletter show art; condensed mega title w/ serif interjections; dashed rules|none-visible|solid
sondaven.com|y|dark|grotesk-caps|glitch-stretched slab wordmark under needle-spire pixel towers in umber dark|canvas|solid
soscalemedia.se|y|dark|grotesk-caps|video-masked mega caps masthead band over full-bleed macro film|kinetic-type|solid
spellar.ai|y|dark|quiet|purple-gradient AI SaaS formula|none-visible|template
spencergabor.work|y|light|grotesk-caps|condensed slab name + fanned illustration cards + ghost-grey echo line|none-visible|solid
st33p.com|y|dark|quiet|Shopify store unavailable page|none-visible|template
stabondar.com|y|dark|grotesk-caps|halftone wordmark + faint outline mega type; 3D scene unresolved in headless|3d|solid
stagecrew.studio|y|dark|quiet|blank in headless (WebGL gate); unresolvable|canvas|solid
stellar.work|y|dark|quiet|giant Helvetica claim + work strip; sprint-service pitch|none-visible|solid
stephenkentjohnson.com|n|||Cloudflare bot gate||template
stiff.madebybuzzworthy.com|y|dark|mixed|1950s cartoon comedy production: cream/red vintage display, chattering-teeth mascot inside GO-OD, WORK ticker rail|kinetic-type|ORIGINAL
storytime.xyzal.com|y|dark|giant-serif|pharma storybook (Storytime with Nigel) behind consent modal; book-stack 3D|3d|solid
strangefamily.co|y|color|quiet|fictional 3D milk carton artifact (fake glyphs, halftone portrait) floating in real sky; tri-city clocks|3d|ORIGINAL
stravagar.io|y|dark|giant-serif|b/w underwater story-world: clam + pearl, hand-drawn logotype, draggable year dial (Pandemic Delights)|3d|ORIGINAL
strv.com|y|dark|grotesk-caps|mega condensed caps w/ inline video thumbnail + single red accent word|kinetic-type|solid
studio-arde.com|y|dark|giant-serif|enormous cropped serif wordmark running off-canvas with floating work stills|kinetic-type|solid
studio.ai|y|dark|quiet|hero rendered inside its own design-tool chrome: selected h1 with handles + property bar|kinetic-type|ORIGINAL
studiobruch.com|y|light|quiet|grey skeleton-placeholder look w/ client interview ticker (caught mid-load)|canvas|solid
studiogruhl.com|y|light|quiet|pastel 3D cookie-cutter figures on seesaw inside dark frame; ornate S monogram|3d|solid
